评论,分数,产品,名字
物流快，包装完好，正品无疑。荣耀X70的8300mAh大电池续航超顶，80W快充回血快。1.5K护眼屏清晰舒适，日常使用流畅，IP69K防水+抗摔设计很安心，千元机里性价比极高,5,已购 幻夜黑 12GB+512GB,c***猫
收到荣耀X70啦，买给老爸的，挺好看的、手感轻薄，屏幕显示清晰细腻，续航真的很给力，充电速度也快。系统流畅不卡顿，充满电能用两天。物流快、包装完好，客服态度也好，目前为止老爸挺喜欢的,5,已购 月影白 8GB+256GB,N***5
荣耀X70真是太耐用了！8300mAh大电池两天一充完全够用，IP69级防水和十面抗摔设计让人放心。屏幕护眼又清晰，5000万像素拍照够日常。功能全面，NFC、红外遥控都有，千元机里的性价比之王，非常省心！,5,已购 幻夜黑 8GB+128GB,别嚣张Joy
用了一段时间，不玩游戏，不怎么拍照，就看看小视频，看看书，蛮好的，主要是电池非常耐用，不用带充电宝了,5,已购 竹韵青 8GB+256GB,宝贝彩可爱
这款手机颜值爆表，拿在手里超有质感！屏幕清晰明亮，操作流畅不卡顿，自拍效果也超赞，美颜自然又真实。运行速度快得飞起，日常使用完全无压力！强烈推荐给追求品质的你，绝对物超所值！,5,已购 竹韵青 12GB+512GB,j***e
送给老公的新年礼物🎁荣耀X70手机手感好，外观颜值特别棒。屏幕相当清晰，电池电量正常用1天都不用充电，大电量的真不错。主要这个价位还是5G手机真的太棒啦。老公非常喜欢🥰,5,已购 幻夜黑 8GB+256GB,肉***贝
已经收到了外观很漂亮，设计感很好，运行流畅，拍照像素也很高，打游戏完全不卡顿，电池，电量也够用，发货很快。第2天，京东快递小哥就送货上门了，很满意,5,已购 幻夜黑 8GB+256GB,w920330
当天买下午就到了，非常快， 给老爸买的，屏幕大看着很方便，看这很细腻，系统还可以流畅的，拍照还可以，就是因为电池很大选择了这个手机，很好的一个手机,5,已购 幻夜黑 12GB+256GB,E***y
荣耀手机大品牌，质量可靠信誉有保证。这款待机时间长，运行速度快，快充又提升了。现在有国家补贴，性价比高。京东快递服务到位，送货及时。,5,已购 幻夜黑 12GB+512GB,送***家
大品牌，一直用荣耀系列，质量不错，外观红色喜庆，电池容量大，80w快充，比较轻巧！运行丝滑顺畅！对于不玩游戏的人来说，性价比超高！,5,已购 朱砂红 12GB+512GB,海云dong
性价比很高，外观很漂亮，操控起来很顺畅，唯独配的手机壳颜色是黑色的，与手机颜色不符合，只能自掏腰包重新买一个透明的😅,3,已购 月影白 8GB+256GB,林***君
"外形外观：挺好，个人觉得可以。
屏幕音效：可以，用了半月。
拍照效果：拍照效果不错。
运行速度：正常，传图片速度快。
待机时间：一天充一次电刚好。",5,已购 幻夜黑 12GB+512GB,胡***烨
物流速度很快，前一天购买第2天就到了，而且包装完好，里面的手机有拿了这个泡沫装的，没有任何破损，是给家里父母买的。父母收到之后也对于外观，还有这个型号都很喜欢，也是不错的购物体验,5,已购 幻夜黑 12GB+256GB,超级无敌大怪兽1
荣耀X70款手机，超大电池太给力了，重度使用两天一充完全没问题！抗摔防水性能出色，手滑党狂喜。屏幕清晰护眼，日常使用流畅不卡顿。这个价位能买到如此省心的手机，真心推荐！,5,已购 幻夜黑 12GB+512GB,u***m
拿到这台荣耀X70新手机，第一感觉就是质感和性价比拉满。妈妈最爱的红色素皮后盖搭配金色中框，喜庆又高级，过年拿在手里回头率超高。圆形的&ldquo;MATRIX&rdquo;影像模组辨识度十足。日常刷视频、聊天视频语音都丝滑流畅，8000大电池续航也足够支撑一天重度使用。对比旁边已爆屏😂的小米8，这台荣耀无论是颜值还是体验，都彻底&ldquo;换新&rdquo;成功。,5,已购 朱砂红 8GB+256GB,J_Hu128
春节给老人买的礼物，样子款式看着还不错，挺喜庆的，配置也不错，老人用足够了，大容量电池，用着也满足日常的需求，还不错！,5,已购 朱砂红 8GB+256GB,_woimoto_
很好，性价比高，拍照好，音质棒，声音大又好听，屏幕清楚，运行速度快，电量十多耐用，十分喜欢，准备介绍给朋友同事们，真的值得购买，下次还会来京东买荣耀,5,已购 朱砂红 8GB+256GB,淼娃71
这个玩意儿屏幕足够大，电池容量也不错，适合给老太太用，老太太拿着还挺高兴，价格也便宜，京东自营的物流快递还是很快的，昨天下的单，今天早上就到了，挺赶趟购物体验应该不错,5,已购 竹韵青 8GB+128GB,86ft00a5fgjlkr
颜值挺高的。老人家用着很好。不错。又轻薄。拿着都方便。 充电又快。待机时间挺长的。不用经常充电。老人家很合适。价格又实惠。,5,已购 幻夜黑 8GB+256GB,jd_159149ann
货很快收到，外观设计美观，外放声音够大，软件启动快，拍照效果好，图像清晰。超薄，便于携带，能护眼，光度很好，送外套，价格比高，值得购买！,5,已购 幻夜黑 8GB+128GB,虚无才是永恒
这款荣耀x70手机收到货了，立马体验，外观手感都很好，运行速度快，流畅，待机时间超长，充电速度超快，物美价廉,5,已购 竹韵青 8GB+128GB,j***7
买给父母用的，他们都很喜欢，说颜色也特别漂亮，设计高端大气上档次，用起来也很顺畅，拍照出来也特别的清晰，物流也特别的快，价格亲民，值得购买,5,已购 朱砂红 12GB+256GB,米君晶
"外形外观：外观好看，质量很好，
屏幕音效：屏幕很好，立体声的喇叭，声音也大。
拍照效果：很清晰。值得购买，会继续回购",5,已购 幻夜黑 8GB+128GB,越***发
给爸爸买的这款手机用了段时间，效果超棒。电量十分耐用，开启简单模式后操作简便，特别适合长辈，而且性价比高，很值得入手。,5,已购 幻夜黑 12GB+512GB,阿吉159
家人手机不小心丢了，网上比较了一下，还是这款比较适合，外观看起来比较大气，家人用起来上手也比较快，遗憾的是没有抢上国补优惠券，总体评价8.5分（满分10分）。,5,已购 幻夜黑 12GB+512GB,G***x
趁着国补有活动有名额购买，价格不错，机子整体来说还算流畅，因为是备用机，要求不高，待机时间很长，屏幕用起来很舒服，实体店对比了许多才选定这一部。,5,已购 月影白 12GB+512GB,h***w
给爸爸买的，价格实惠，用着很流畅，手机反应速度快，80w充电也不慢，屏幕大，声音大还不错，从京东买过好几个手机了，值得信赖,5,已购 竹韵青 12GB+256GB,j***1
这个价位，这个质量，确实是性价比拉满，第二次购买了，买给爸爸妈妈长辈，非常合适，一千多，真的还要什么自行车，同价位几乎已经是无敌的存在，运行流畅，屏幕也大,5,已购 幻夜黑 12GB+256GB,eeh0hm5553krrd
一直在用荣耀的手机，这台还是好多年前买的备用机，这次又换了x70，性价比非常高，手感很好，作为备用机完全够用，内存足也很流畅,5,已购 幻夜黑 8GB+256GB,g1x334hx3khmf
手机很漂亮，性价比很高，有国补真的好实惠。拍照特别清楚，阳光下拍照也很清晰，待机时间很长，用了3天才充电一次，操作也很顺畅，值得购买,5,已购 竹韵青 8GB+256GB,j***d
看过去还可以，质感一般般，给爸爸用的，，，，，，，，，，，，，,3,已购 幻夜黑 12GB+256GB,fl1cz92c87tzww
运行速度非常好，主要是用得久这个电池能用好几天非常适合老年人使用，而且功能也基本都有非常合适。如果有想下单的时候赶紧出手吧，我这个是买给老爸用的，非常非常满意。,5,已购 幻夜黑 8GB+256GB,卖豆豆的小男孩
质量挺好的，发货也快的，给长辈用的，很好，选的是黑色的，很大气，屏幕也很清晰，容量也够大，而且价格也很合算，不错，给五星。,5,已购 幻夜黑 12GB+256GB,jdleezh2
这款荣耀X70太棒了。启动很快，护眼的屏幕比普通的手机温和不刺眼。下载速度快，运行速度也很快。外观设计很好看，手感不错。,5,已购 竹韵青 12GB+512GB,jd_米雪儿0
"超级不错，
外形外观：大摄像头
运行速度：手机很轻
拍照效果：更棒
待机时间：比之前手机待机时间长多了
其他特色：很轻，很轻，拿起来一点不累手",5,已购 幻夜黑 8GB+256GB,j***p
趁活动给家人换个手机，挑了好久，还是这款最中意，样式好看，内存大，拍照清晰，运行速度快，待机时间长，实用方便,5,已购 竹韵青 8GB+256GB,jd_180545txm
大品牌，很亮，还很好用，质量不错的，外观也很时尚，各方面都可以，反正挺满意的！京东配送上门的服务质量特别好！这个价格，对比这个质量，非常满意！,5,已购 幻夜黑 12GB+256GB,在劫可逃
荣耀手机手感轻薄颜值高，屏幕护眼舒服，系统流畅不卡顿，拍照清晰自然，续航给力、充电快，整体体验超预期，性价比很高，值得入手！,5,已购 幻夜黑 8GB+128GB,爱笑的人才是真的幸福
这是手机买的价格很好，嗯，价廉物美，京东搞的活动很优惠，然后上手嗯感觉也挺轻巧，没有想象中的那么重，嗯，充电很快，然后也很耐用，电视很够用,5,已购 竹韵青 8GB+256GB,jd_130163xft
之前用小米，这次用过之后发现比小米好用多了，特别是外观设计特别的漂亮大气，还送了手机外壳和贴膜，充电器也是高功率的充电器，充电速度特别快。,5,已购 朱砂红 8GB+128GB,诸***荣
给婆婆买的，用了一段时间感觉挺好的。。字体大小都可以自动设置成老人使用模式，声音也够大。。。而且像素也比想象中的要好，价格实惠，物有所值吧，后续有需要，还会回购。,5,已购 朱砂红 8GB+128GB,香xxbobo
给老爸买的，屏幕大，电池大，运行流畅，一千多的手机物超所值，自己用的荣耀魔术8，荣耀的忠实粉，相信荣耀，信任京东。,5,已购 幻夜黑 12GB+256GB,别撩_我是你大叔
无线充电太棒啦！！非常漂亮喜欢！电池太厉害了，续航能力强👍🏻👍🏻能玩很久手机都还有很多电，推荐推荐！,5,已购 竹韵青 12GB+512GB,j***u
手机很轻巧，价格也不贵，给父母买的，还可以吧。手机配了手机壳，贴膜已经贴好了，比较方便，不用自己贴。,5,已购 竹韵青 8GB+256GB,j***n
"手机质量好，颜值担当，操作界面简单顺畅又丝滑
充一次电老年人能用两三天，刷抖音啥的都不卡，感觉物超所值。",5,已购 幻夜黑 12GB+256GB,高爱与自由
荣耀手机质量还不错 ，物美价廉， 震感上有国补 ，价钱很合适。屏幕色彩鲜艳 ，手感很舒适 。80瓦的快充充电速度也很快。,5,已购 月影白 8GB+256GB,r***a
荣耀的这款手机非常丝滑，操作很流畅，关键是电池，真的很抗用，是我用过的所有手机里头，续航能力最好的一款手机，性价比很高，真不错。,5,已购 朱砂红 12GB+256GB,盒***驴
货已收到，包装完好无损，在学习中，运行速度比较快，颜值高，手感不错，操作顺畅，在使用过程中看看性能测试如何再评,5,已购 幻夜黑 12GB+256GB,u_dubmgpnus91c
物流快。手机操作顺畅。支持5g网络（之前买华为畅享80pro，放卡后，不会显示5g）。挺好用的。有指纹解锁和人脸识别功能。,5,已购 竹韵青 12GB+512GB,j***x
价格跟线下的差不多，京东自营比较有保障一点，参考了几款手机，感觉还是这款好一点，希望使用没有质量问题。,3,已购 幻夜黑 8GB+256GB,逆***明
物流真的太快了！下单第二天就收到货了，给快递小哥点赞。打开包裹，里面的商品包装得很严实，保护得非常好。东西质量很棒，做工精致，材质摸起来很有质感，完全对得起这个价格。卖家很诚信，实物与描述百分百相符。这个价格能买到这样的品质，真的很值，五星好评！,5,已购 幻夜黑 12GB+512GB,公子-不花
手机超出预期，它的电池比较大，肯定待机时间长，屏幕色彩也很鲜艳。拍照效果也好，手感舒适，完全超出预期。,5,已购 朱砂红 8GB+128GB,jinxinjiao5415
婆婆来伺候月子觉得她很辛苦，立刻安排上新的手机让她看孩子的时候也能放松放松，屏幕很清晰，老人说一点也不伤眼睛，拿着也轻便，不累,5,已购 朱砂红 12GB+256GB,jd_186606kup
一直用荣耀，性价比很高，存储空间和电池都够够的😘要是华为系统那就更好了，刚买的时候还有点纠结，咬咬牙买了，用起来挺不错的现在，拍到了可爱的微生物😂😂😂芯片上也拍的很清晰,5,已购 竹韵青 12GB+512GB,Mahurho
"京东看来看去，找的很久，选华为或者选荣耀。
最终还是选了这款，给老人用。
电池容量足够大，手机外壳也好看，适合老人使用。
已经使用中。",5,已购 竹韵青 8GB+256GB,zhaoqiang689
软件响应快，使用流畅。拿在手里大小合适，分量还行，久握不觉得累，100%的电量刷刷视频玩玩游戏用一天没问题，充电速度也快,5,已购 竹韵青 8GB+128GB,u***1
整体用力的效果好，待机电池也很差，用了2天多多，还有电，整体感觉都挺好。那这效果也不错，整体感觉不错,5,已购 月影白 12GB+256GB,小***诗
新手机很好用，软件启动快，操作顺畅，手感也好，颜值更适合男士，给老公买的嘻嘻，价钱也不算太贵，用上3年没问题,5,已购 幻夜黑 12GB+256GB,u***d
"📱屏幕色彩超赞，画面清晰明亮✨
🎧外放音质洪亮，细节丰富🎶
⚡软件启动飞快，操作流畅无比🚀
🔋充电速度给力，续航表现优秀🔋
📦包装严实，物流迅速，服务贴心💖",5,已购 月影白 8GB+256GB,u_enw3995ihpv1
刚收到新机，看外观感觉还不错，具体使用效果需要后面追评，目前觉得性价比不错，还有国补挺划算，手机配置给老爸正常社交刷一些视频足够用了。,5,已购 幻夜黑 8GB+256GB,黑色幽默0517
"手机外观很上档次，家人很喜欢。用完国补之后性价比特别高。
用起来非常流畅，觉特别好，屏幕显示效果也非常好",5,已购 幻夜黑 8GB+256GB,jd138111wuu
外观大方，屏幕丝滑，拍照效果超级哇塞，速度也快，待机时间挺长的，这个颜色是我非常喜欢的颜色，喜欢红色的，大家喜欢的可以下单了,5,已购 朱砂红 12GB+512GB,jd_5tzo89lpl8j0z7
心心念念的X70终于到手了，拿到手后迫不及待打开了，屏幕清晰，尝试后各种功能都很好，外放的声音也很大，适合老年人使用,5,已购 幻夜黑 12GB+512GB,uren2222
"外形外观：手感舒适，老人喜欢
屏幕音效：屏幕对老人来说，看着舒服，声音不刺耳
拍照效果：老人拍照够用了，不需要太专业
运行速度：速度流畅，不卡
待机时间：待机时间可以，不用老想着没电要充电",5,已购 幻夜黑 12GB+256GB,j***I
大品牌值得信赖，外观漂亮，屏幕清晰流畅，拍照效果不错，运行速度很快。待机时间长，手感舒服，做活动价格优惠，好评,5,已购 幻夜黑 12GB+512GB,8bc72pvjt2xdey
特别好用的一款手机，第一次购买就被他的颜值吸引了，特别喜欢，家里人都说买的很好，朋友也吉利就推荐这一款手机，就是无敌性价比之王,5,已购 朱砂红 8GB+256GB,jd_bzrlou66j49c3q
快递很快，非常方便，手机很好，性价比很高，现在还有国补活动，给家里老人换个手机，非常方便。内存也大了很多，用起来很丝滑顺畅。,5,已购 幻夜黑 12GB+256GB,jd_156205epl
手机收到了，给妈妈买的。我也算荣耀的粉丝吧，已经用了5个荣耀的手机了，耐用实用好用。最重要是价格平民，一次满意的购物。等过两天去给妈妈送过去,5,已购 月影白 8GB+256GB,文仔001
"首先：这款手机性价比非常高
其次：运行也非常流畅，一点都不卡顿
而且：颜值非常高
最后：大内存，再没有存储担心了
推荐购买！！！",5,已购 朱砂红 12GB+512GB,Ivan2025
这个手机买了一段时间了，待机是真的长，一整天玩手机不用充电是比较爽的。还有就是屏幕很大，我个人比较满意。,5,已购 幻夜黑 12GB+256GB,5xjlc80ij2fhlp
给家里老爸买的，网上看了很多人的手机评测，这个手机性价比贼高，并且屏幕护眼很好，电池也大非常适合给家里老人用。,5,已购 竹韵青 12GB+256GB,jdbeimih
非常的好，性价比超高，给老爸尤其老年人有时候夜间玩手机所以选择了护眼功能还有超大的续航能力也是我比较喜欢的主要它是抗衰老年人可能一不小心有时候会掉地,5,已购 幻夜黑 12GB+512GB,武***o
"买来给家里父母的
颜色是妈妈选的，很喜欢
待机时间很长，电池很大，爸妈出门玩不用老充电
拍照拍视频也很清晰",5,已购 竹韵青 12GB+512GB,jd_许小可加油
隔了5年再次买手机，结果发现进化了很多，好多功能根本不认识只能慢慢摸索。不过就常用的功能来说，顺滑感提升了很多，附送的外壳手感也挺不错，希望这次能多用一段。,5,已购 幻夜黑 12GB+512GB,jdsukerlje
待机时间真是非常给力，之前有个苹果，好几年了，根本离不开充电宝了，这个华为待机超长，有些适应不了了哈哈哈。,5,已购 竹韵青 12GB+256GB,jd186988adh
对比了好几款，最后选择了荣耀，给家人买的，想买个续航时间久，快充，屏大可以刷视频的手机，这款可以满足,5,已购 朱砂红 8GB+256GB,锦***我
手机质感高级，屏幕刷新率高，滑动时跟手性很好。系统功能丰富且人性化，隐私保护到位。拍照清晰，视频防抖效果显著，续航能满足一天重度使用，售后也很贴心，整体非常满意！,5,已购 竹韵青 8GB+256GB,美食达芬奇_顺意x233
手机非常轻薄，然后也比较好用那个屏大小合适，然后照相的效果也不错，然后性价比真的比较高，速度用起来也比较快，不卡顿嗯，挺不错,5,已购 月影白 12GB+512GB,u_1iug6rmmwerx
荣耀X70确实不错，外观时尚，屏幕大而且🖥️清晰，拍照效果好，运行速度快，带电量时间长，老人用非常棒,5,已购 竹韵青 12GB+256GB,s***8
屏幕色彩鲜艳 操作很好拍照清晰  阳光下都看得到  电池却很耐用  性价比很高还会有，我们的目标是成为一个优秀的人和一个优秀而又优秀,5,已购 朱砂红 12GB+256GB,q***0
物流配送很快，第二天就送到了，手机买给妈妈用的，很合适。妈妈很喜欢，拍照，打电话，刷视频都挺顺滑的。,5,已购 月影白 8GB+128GB,是赵清珊啊
上午下单，下午就收到了！超级快！手机非常流畅，非常好用，质感也特别好，超级值！性价比超高，这么太对的起这个价格了，为我们国产手机点赞！,5,已购 幻夜黑 12GB+512GB,u_kj4iryilpb7f
这手机不仅好看，质量也过硬，用起来特别舒服，真心推荐！真心希望越来越多的人能够使用上这款好的手机，质量非常好,5,已购 幻夜黑 12GB+512GB,月蓝大豪杰
荣耀手机，性价比很高，荣耀X70直屏，非常好的手感，电池容量也比较大，非常喜欢，京东发货的速度快，上午购买的，下午就到了,5,已购 幻夜黑 12GB+512GB,涂永高
手机真不错，买来送给妈妈的，现在 2000 元以内的手机，可以买到 12 加 512 了，真的很不错，唯一遗憾的就是没有用上国补，用上国补还可以再多便宜 100 块😁,5,已购 竹韵青 12GB+512GB,j***t
手机还是很不错，外观看去上很精致，屏幕也还是很大的，拍照功能很不错，运行速度、待机时间也是很不错的。,5,已购 竹韵青 12GB+512GB,9ld204o5c01b11
给爸爸妈妈一人买一个荣耀X7，一黑一白，荣耀性价比很高，拍照清晰，买的12+512，运行速度很快，手感很好，家人很喜欢。,5,已购 月影白 12GB+512GB,小玉maomao
买了两台，老爸一台老妈一台，刚好两个人的手机都有点坏了，趁国补领的券，算下来还挺划算的，感谢国家，感谢平台。用了一段时间，感觉挺好的,5,已购 竹韵青 12GB+256GB,酱紫牙疼
家里老人手机突然坏了 给家里老人买的手机 在排行榜名列前茅的手机 性价比非常非常高 荣耀也是大牌子了 非常值得信赖 用了一段时间感觉拍照不错,5,已购 月影白 12GB+256GB,A***阿
金标抗摔手机，红色素皮感觉不错，对比之后选择了荣耀x70，国补活动性价比很高。希望当老人机使用个10年吧。,5,已购 朱砂红 8GB+128GB,f***8
"荣耀的品质和性价比还是可以的。
拍照清晰，新机的运行速度很快，不知道一年以后会怎么样。
外放声音不错。
自拍挺好",5,已购 竹韵青 12GB+512GB,dh1x9yi962x631
"外形外观：荣耀x70外观美观大方，黑曜石的颜色，高端大气上档次。
屏幕音效：屏幕音效增强，特别特别好。
拍照效果：拍照效果非常好，拍出来特别清晰，颜值高。
运行速度：运行速度非常非常快，给小孩学习，查资料，听网课。包括玩游戏，都非常流畅，不卡顿。点赞👍！",5,已购 幻夜黑 8GB+256GB,平安g健康
荣耀X70的外观延续了X系列的经典设计，但细节上更上一层楼。 镜头模组的银色环形设计辨识度很高，整体质感不输一些更贵的机型。,5,已购 幻夜黑 12GB+512GB,想太多7ian
拍下清晰，操作顺畅。待机时间长，手感舒服。非常的不错，然后换机也快，下载更新也快，充电时间快。原机还贴了膜，还送了手机壳，非常的省事儿，简单好用。,5,已购 朱砂红 8GB+256GB,u_h3x1ajnu2g2h
荣耀X70用了两周，屏幕清晰流畅，拍照效果比预期好很多，日常使用完全足够，性价比高，特别推荐给预算有限又想要好体验的朋友！,5,已购 竹韵青 8GB+256GB,史***6
荣耀X70手感好颜值高，8300mAh大电池续航超强，一天一充无压力。120Hz高刷屏流畅护眼，拍照清晰，系统稳定不卡顿，抗摔防水耐用，千元档性价比很高，值得入手。,5,已购 幻夜黑 8GB+128GB,浓妆淡雅熙
这款荣耀x70手机功能非常多。而且颜色很漂亮，还带nfc功能使用起来也很方便。唯一的遗憾是没有耳机插孔。,5,已购 竹韵青 8GB+256GB,q***h
荣耀手机真的太香了！屏幕色彩鲜艳得像会发光，自拍美得不像话。拍照清晰度超高，外放声音也超大，音质清晰不刺耳。机身轻薄手感绝了，绿色配色简直吸睛，拿在手里就是焦点！爱了爱了，强烈推荐！,5,已购 幻夜黑 8GB+128GB,j***7
外观漂亮大方，拍照效果不错，图片清晰美观，运行流畅，声音清晰洪亮，大小合适，手拿非常方便，内存够用，不错的一次购物体验，手机非常不错。,5,已购 幻夜黑 8GB+256GB,00y8q18gcanqwv
